Source,Target,Weight
#ChinaLiedAndPeopleDied,#ChineseVirus,38
#DeepState,#FireFauci,15
#DeepState,#DrainTheSwamp,30
#DrainTheSwamp,#FireFauci,7
#FakeNews,#endthelockdown,4
#DeepState,#Fakenews,1
#COVIDIOTS,#QAnon,6
#DrainTheSwamp,#Q,21
#FakeNews,#Q,11
#DrainTheSwamp,#FakeNews,16
#QAnon,#Spygate,24
#Pedogate,#TheGreatAwakening,26
#Spygate,#TheGreatAwakening,16
#DeepState,#Pedogate,20
#DeepState,#Spygate,20
#Pedogate,#Spygate,13
#Spygate,#WWG1WGA,25
#QAnon,#TrustThePlan,76
#BillGatesVirus,#CoronaVirusHOAX,2
#CoronaVirusHOAX,#FilmYourHospital,9
#Agenda21,#CoronaVirusHOAX,7
#Agenda2030,#CoronaVirusHOAX,4
#BillGatesVirus,#FilmYourHospital,2
#Agenda21,#BillGatesVirus,7
#Agenda2030,#BillGatesVirus,1
#Agenda21,#FilmYourHospital,5
#Agenda2030,#FilmYourHospital,3
#CoronaHoax,#FauciFraud,6
#TheStormIsHere,#thegreatawakening,4
#GreatAwakening,#GreatAwakeningWorldwide,14
#BoycottChina,#endthelockdownnow,1
#PIZZAGATEISREAL,#qanon,9
#DEEPSTATETAKEDOWN,#Treason,2
#ChineseVirus,#Qanon,6
#CNNFakeNews,#Plandemic,1
#ChinaLiedPeopleDie,#ChinaLiedPeopleDied,12
#CoronaVirusHOAX,#Coronavirustruth,8
#5GCoronavirus,#CoronaVirusHOAX,5
#5GCoronavirus,#Coronavirustruth,3
#CCPLiedPeopleDied,#ChinaVirus,12
#FakeNewsCNN,#FakeNewsMedia,16
#CCPVirus,#chinazi,17
#QAnon,#SpyGate,13
#QArmy,#SpyGate,8
#GreatAwakening,#SpyGate,10
#Q,#thegreatawakening,14
#QAnon,#thegreatawakening,10
#ChinaLiedAndPeopleDied,#MakeChinaPay,13
#ChinaMustExplain,#ChineseVirus19,14
#ChinaMustExplain,#ChineseBioterrorism,11
#QANON,#TheGreatAwakening,29
#FilmYourHospital,#wwg1wga,3
#FakePandemic,#FilmYourHospital,14
#FakePandemic,#wwg1wga,3
#QArmy,#TrustThePlan,16
#QArmy,#TheStormIsUponUs,12
#TheStormIsUponUs,#TrustThePlan,11
#QArmy,#qanon,23
#PIZZAGATEISREAL,#QAnon,13
#CNNFakeNews,#CoronaVirusHOAX,1
#PIZZAGATEISREAL,#pizzagate,9
#QAnon,#pizzagate,13
#Qarmy,#WWG1WGA,40
#Qarmy,#TheGreatAwakening,20
#Qarmy,#SaveTheChildren,6
#COVIDIOTS,#Qanon,1
#COVIDIDIOT,#COVIDIOTS,4
#COVIDIOT,#LockdownEnd,2
#BoycottChina,#Chinamustfall,4
#ChinaLiedPeopleDied,#Chinamustfall,11
#GreatAwakening,#Qarmy,8
#DarkToLight,#Qarmy,38
#SavetheChildren,#WWG1WGA,22
#CrimesAgainstChildren,#Qanon,2
#CrimesAgainstHumanity,#Qanon,2
#GreatAwakening,#SavetheChildren,5
#QArmy,#SavetheChildren,3
#Q,#TheStormIsUponUs,18
#QAnons,#TheStormIsUponUs,10
#QArmy,#SaveTheChildren,22
#DarkToLight,#PizzaGate,14
#pizzagate,#qanon,13
#Agenda21,#SaveTheChildren,6
#QAnons,#SaveTheChildren,18
#Agenda21,#QAnons,8
#ChinaIsAsshoe,#chinazi,6
#DeepState,#QAnons,14
#BoycottChina,#plandemic,1
#ChineseBioterrorism,#MakeChinaPay,4
#ChinaLiedPeopleDie,#ChineseBioterrorism,17
#BillGatesIsEvil,#CrimesAgainstHumanity,2
#FakeNewsMedia,#qanon,3
#BillGatesBioTerrorist,#BillGatesIsNotOurFriend,23
#BillGatesBioTerrorist,#DarkToLight,1
#BillGatesBioTerrorist,#TheGreatAwakeningWorldwide,1
#BillGatesBioTerrorist,#TheGreatAwakening,3
#Agenda2030,#BillGatesBioTerrorist,4
#Agenda21,#BillGatesBioTerrorist,5
#BillGatesIsNotOurFriend,#DarkToLight,2
#BillGatesIsNotOurFriend,#TheGreatAwakeningWorldwide,2
#BillGatesIsNotOurFriend,#TheGreatAwakening,6
#Agenda2030,#BillGatesIsNotOurFriend,1
#Agenda21,#BillGatesIsNotOurFriend,4
#Agenda2030,#DarkToLight,1
#Agenda21,#DarkToLight,3
#Agenda2030,#TheGreatAwakeningWorldwide,2
#Agenda21,#TheGreatAwakeningWorldwide,4
#Agenda2030,#TheGreatAwakening,3
#Agenda21,#TheGreatAwakening,5
#CoronaVirusHOAX,#EmptyHospitals,2
#Agenda21,#EmptyHospitals,1
#Agenda21,#FakePandemic,3
#Agenda2030,#FakePandemic,2
#Qanon,#TheStormIsUponUs,24
#TheStormIsHere,#qanon,13
#GreatAwakening,#SaveTheChildren,29
#chinavirus,#chinazi,3
#ChineseVirus,#WWG1WGAWORLDWIDE,1
#DarkToLight,#WWG1WGA_WORLDWIDE,24
#TheStormIsHere,#WWG1WGA_WORLDWIDE,4
#ChinaVirus,#QAnon,11
#ChinaVirus,#QArmy,4
#ChinaIsAsshoe,#ChinaMustPay,11
#TheGreatAwakeningWorldwide,#qanon,11
#COVIDIOTS,#ChinaLiedAndPeopleDied,2
#CoronaVirusHOAX,#FakeNews,1
#PIZZAGATEISREAL,#WWG1WGA,16
#PIZZAGATEISREAL,#WWG1WGAWORLDWIDE,13
#BillGatesBioTerrorist,#BillGatesIsEvil,27
#BillGatesBioTerrorist,#PizzaGate,2
#BillGatesIsNotOurFriend,#PizzaGate,2
